baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TENT5B	433.047418338988	2.84376316229424	0.176927559351562	16.073036742928	3.94288138322641e-58	4.96137145430694e-56
PPM1F	1517.06331502783	1.29684031517501	0.0809784974936672	16.0146255526219	1.01012989240533e-57	1.25433322428858e-55
RNU6-529P	7.4549956231485	2.11415907976948	0.13216287258629	15.9966187053716	1.34905741571272e-57	1.66063102407211e-55
F8	981.509766344995	1.82999499247071	0.11440056996268	15.9963800273695	1.35423803009973e-57	1.66339206543096e-55
TRPV2	1251.12484133626	1.93596629831371	0.121074304038587	15.9899023470473	1.5026637019548e-57	1.84170626535689e-55
MYADM	5491.14418171117	1.99391093481037	0.124976205593333	15.9543244679589	2.65834466936443e-57	3.24409716720025e-55
VSIR	2750.02483836982	1.6483777846583	0.103361456105206	15.9477028166138	2.95570617514763e-57	3.59922379487224e-55
ALAS2	23.4050127280998	4.19400186988728	0.263131235517656	15.9388217884374	3.40717295124301e-57	4.14008071225718e-55
AC104211.1	16.2758389129143	2.99934386521719	0.188528284243613	15.9092513744065	5.4663212476198e-57	6.61378150267572e-55
NXPH3	166.934220817782	2.47616681030462	0.155686029367725	15.90487483277	5.86203481175763e-57	7.07743836206746e-55
SIRPB1	387.643158521639	2.78868262311094	0.17534027671564	15.9044041411747	5.90625716903566e-57	7.11565757318033e-55
LINC01082	2.12722838854572	3.97654410387407	0.250031181796526	15.9041927302898	5.92622761210305e-57	7.12455864772236e-55
GPM6A	424.007932966951	4.44999475572845	0.280151075090286	15.8842679946679	8.14431424317486e-57	9.72919092205767e-55
COLEC10	38.9405056379386	3.14584310990247	0.198244543273292	15.868497856033	1.04717209726002e-56	1.23789296106996e-54
JCAD	2824.59312329241	2.12657882186682	0.134119872826207	15.8558070258719	1.28170472189034e-56	1.50571054299416e-54
CGNL1	2240.59740309059	2.23327826637952	0.140907045485561	15.8493016348737	1.42151788800114e-56	1.66650163333699e-54
KLF6	10031.856169192	1.77934722438493	0.112363555407995	15.8356258657363	1.76692297598688e-56	2.06289168231508e-54
THBD	2882.12645169817	2.46334599061949	0.155697055056355	15.8214038777283	2.21498143439391e-56	2.57010468731805e-54
AL355835.1	11.277666139443	2.57009514489003	0.16245764202081	15.8200938590554	2.26155279132579e-56	2.61877638560392e-54
TIE1	1550.3587537427	2.01020268949358	0.127262651195074	15.7957002358237	3.33074018352674e-56	3.81781036744976e-54
TACC1	5923.62772668913	1.87075686608028	0.118722460833205	15.7573963085935	6.10987973205442e-56	6.96108309754224e-54
SEMA6A	569.968958388826	2.58223896375555	0.164052734357687	15.7402982270655	8.00654436361611e-56	9.10366602500801e-54
AC009093.3	125.300588214743	4.22396070836599	0.269081937911749	15.6976746233756	1.56888329915136e-55	1.75913758279498e-53
WFS1	2855.10849235728	1.75828880762842	0.112132167911123	15.6805031097058	2.05619104912428e-55	2.29644500918369e-53
TGFBR2	10035.489509793	1.70467618797995	0.108716979168312	15.679944393422	2.07435738166113e-55	2.3121734720311e-53
AC135012.3	9.46343859058478	4.17581774875866	0.266524385767244	15.6676760992722	2.51612194165118e-55	2.79358605537365e-53
ADAMTS8	451.640856970413	3.6433861015837	0.232631470486752	15.6616217657928	2.76749124299835e-55	3.06067234655349e-53
AC125807.2	155.354681586695	2.17206129858316	0.138741647177175	15.6554383112477	3.05004628659506e-55	3.36658520335592e-53
AC021016.1	104.778308703166	1.6351677955894	0.104529462675594	15.6431282983261	3.70091456129862e-55	4.07705420464928e-53
LINC00551	35.343729643815	2.73800428983983	0.17580759686572	15.5738679024837	1.09575901607652e-54	1.19090707344179e-52
