baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CHEK1	713.673466538335	-2.6445117780412	0.150901149748722	-17.5247954203451	9.26742958961369e-69	1.94355160400846e-66
XDH	1023.17342000887	-4.07748511505164	0.2330447093343	-17.4965787753737	1.52137549915765e-68	3.15554455180596e-66
OCIAD2	5011.06508732814	-2.19904501082525	0.12614941312005	-17.4320669152264	4.71119176460245e-68	9.49347055084873e-66
PCAT6	206.543034355762	-2.75547809542963	0.158073308254434	-17.4316469102704	4.74592478100964e-68	9.52954768793936e-66
AC103718.1	131.185973903858	-5.84263324436886	0.335289714316063	-17.4256262417322	5.27280016385572e-68	1.05500719603592e-65
UNC5CL	671.664641524239	-3.09293596535206	0.177601504038958	-17.4150325026167	6.34528595699288e-68	1.26512490150974e-65
TFAP2A	583.356428374195	-3.81976237164022	0.219362355816243	-17.4130258467865	6.57168728288107e-68	1.3011021703002e-65
B4GALNT4	513.500991671817	-4.7698165267692	0.274272767206114	-17.3907769821884	9.69115280230196e-68	1.91202730410295e-65
PCLAF	284.2843512048	-2.6995891006271	0.1553033014341	-17.3826897155346	1.11594497293603e-67	2.19407181067812e-65
FAM111B	538.374763421107	-2.795605090667	0.160893288051517	-17.3755233951827	1.26447304048013e-67	2.47749209149297e-65
RUNDC3A-AS1	66.8503428519666	-3.845973488341	0.221908183149865	-17.3313729748471	2.72738987929467e-67	5.30706957131208e-65
FOXD3-AS1	52.6112300648838	-7.16299552802644	0.41365741142808	-17.3162509123128	3.54729029521639e-67	6.85535036437996e-65
DMBX1	101.896427998452	-6.33266362383029	0.365733059548332	-17.3149882366415	3.62596503406615e-67	6.98355932275379e-65
CABYR	400.069469267756	-4.61585589786975	0.267336219901973	-17.2661074491226	8.46639235934908e-67	1.6141447843629e-64
EME1	135.838955640612	-2.73215137694547	0.158354939045541	-17.253338565965	1.05616212652182e-66	2.00684980711985e-64
CCNE1	407.337642181968	-3.2869619262624	0.19055306134352	-17.24958866096	1.12698844567298e-66	2.13426734942431e-64
GPRIN1	426.234644546751	-2.72525226314181	0.158144022594188	-17.2327238073048	1.50876322722457e-66	2.83827936805196e-64
PBK	431.276859644656	-3.38291437109377	0.19636570617005	-17.2276230767312	1.64784900829271e-66	3.08966232601213e-64
KIF15	367.024936108613	-2.6961436914478	0.156570875618261	-17.2199566541439	1.88129019036842e-66	3.50415051774412e-64
TICRR	233.550558946595	-2.92208765369463	0.169717128448277	-17.2173998017246	1.96625543546015e-66	3.65040156647526e-64
STRA6	696.990835730158	-4.54861784794049	0.264415048566541	-17.2025679801496	2.54019904352218e-66	4.70053041308497e-64
ENTPD8	211.885034896654	-4.59096824979701	0.267003761351697	-17.1943954143395	2.92492896854177e-66	5.39482664217294e-64
LINC01270	159.546458186698	-2.87418054149228	0.167216703531214	-17.1883578661492	3.24596543320805e-66	5.96751774967443e-64
CDT1	745.884844234514	-2.8064672546067	0.163392661696624	-17.1762135793928	4.00194905878308e-66	7.33353927199137e-64
SALL4	195.209054139192	-3.38042918721409	0.196913300392656	-17.1670942514971	4.68283162906851e-66	8.5506937690875e-64
SPC24	382.973267385078	-2.70220872810846	0.157407831913763	-17.1669267993532	4.69635801459843e-66	8.5506937690875e-64
TFR2	153.483853267709	-2.98819834551371	0.174347370707027	-17.1393370223808	7.5506684036372e-66	1.36597139836279e-63
AL390719.1	244.694582190863	-2.78060980769014	0.162311107213388	-17.1313587555934	8.66081605366089e-66	1.56181544019903e-63
CHAF1B	562.304529180032	-1.98499092634838	0.115937974474354	-17.1211454689289	1.03224034659549e-65	1.85554213922613e-63
GRHL3	162.578965924586	-3.55354129693709	0.208335200621354	-17.0568453450917	3.10897591256886e-65	5.55339596445738e-63
HHIPL2	424.744462746613	-5.97897126502662	0.35058700548359	-17.054172492159	3.25449105637044e-65	5.79504093006036e-63
CENPI	243.836679719322	-2.76575958748903	0.162213620621914	-17.0501069940078	3.48894065157334e-65	6.19303371331313e-63
